,0
0,742.0
1,710.0
2,738.0
3,746.0
4,750.0
5,748.0
6,700.0
7,694.0
8,720.0
9,800.0
10,818.0
11,758.0
12,754.0
13,772.0
14,810.0
15,762.0
16,744.0
17,754.0
18,764.0
19,776.0
20,714.0
21,728.0
22,758.0
23,750.0
24,744.0
25,696.0
26,682.0
27,688.0
28,718.0
29,706.0
30,680.0
31,682.0
32,730.0
33,786.0
34,740.0
35,712.0
36,708.0
37,724.0
38,736.0
39,768.0
40,734.0
41,684.0
42,658.0
43,652.0
44,678.0
45,712.0
46,724.0
47,678.0
48,674.0
49,708.0
50,752.0
51,736.0
52,694.0
53,672.0
54,682.0
55,700.0
56,704.0
57,666.0
58,668.0
59,690.0
60,756.0
61,800.0
62,748.0
63,702.0
64,674.0
65,674.0
66,698.0
67,710.0
68,696.0
69,674.0
70,666.0
71,686.0
72,724.0
73,768.0
74,728.0
75,692.0
76,674.0
77,678.0
78,702.0
79,710.0
80,680.0
81,676.0
82,712.0
83,770.0
84,744.0
85,698.0
86,672.0
87,668.0
88,684.0
89,706.0
90,710.0
91,670.0
92,650.0
93,652.0
94,666.0
95,720.0
96,738.0
97,688.0
98,676.0
99,674.0
100,700.0
101,740.0
102,742.0
103,692.0
104,684.0
105,702.0
106,740.0
107,794.0
108,758.0
109,714.0
110,732.0
111,736.0
112,740.0
113,726.0
114,684.0
115,682.0
116,700.0
117,724.0
118,712.0
119,688.0
120,666.0
121,688.0
122,730.0
123,764.0
124,740.0
125,710.0
126,714.0
127,722.0
128,750.0
129,710.0
130,674.0
131,666.0
132,692.0
133,722.0
134,756.0
135,718.0
136,706.0
137,722.0
138,742.0
139,754.0
140,730.0
141,684.0
142,676.0
143,694.0
144,718.0
145,728.0
146,696.0
147,680.0
148,694.0
149,732.0
150,770.0
151,756.0
152,722.0
153,734.0
154,748.0
155,744.0
156,720.0
157,680.0
158,668.0
159,688.0
160,720.0
161,718.0
162,692.0
163,698.0
164,730.0
165,776.0
166,720.0
167,682.0
168,680.0
169,696.0
170,718.0
171,736.0
172,702.0
173,678.0
174,678.0
175,698.0
176,724.0
177,752.0
178,714.0
179,682.0
180,702.0
181,722.0
182,750.0
183,714.0
184,698.0
185,720.0
186,744.0
187,794.0
188,752.0
189,716.0
190,712.0
191,734.0
192,748.0
193,774.0
194,712.0
195,728.0
196,738.0
197,764.0
198,812.0
199,784.0
200,748.0
201,758.0
202,760.0
203,754.0
204,724.0
205,710.0
206,728.0
207,754.0
208,756.0
209,716.0
210,726.0
211,772.0
212,828.0
213,822.0
214,770.0
215,760.0
216,772.0
217,806.0
218,782.0
219,738.0
220,732.0
221,778.0
222,800.0
223,788.0
224,728.0
225,744.0
226,770.0
227,774.0
228,724.0
229,694.0
230,696.0
231,718.0
232,766.0
233,800.0
234,766.0
235,712.0
236,712.0
237,724.0
238,736.0
239,764.0
240,706.0
241,696.0
242,716.0
243,742.0
244,790.0
245,724.0
246,706.0
247,744.0
248,756.0
249,742.0
250,690.0
251,672.0
252,690.0
253,726.0
254,744.0
255,704.0
256,700.0
257,716.0
258,748.0
259,776.0
260,722.0
261,690.0
262,696.0
263,712.0
264,744.0
265,756.0
266,700.0
267,702.0
268,732.0
269,752.0
270,756.0
271,712.0
272,694.0
273,722.0
274,732.0
275,754.0
276,700.0
277,680.0
278,686.0
279,710.0
280,728.0
281,720.0
282,692.0
283,690.0
284,710.0
285,768.0
286,774.0
287,764.0
288,722.0
289,694.0
290,708.0
291,746.0
292,748.0
293,730.0
294,692.0
295,682.0
296,696.0
297,738.0
298,758.0
299,722.0
300,716.0
301,744.0
302,746.0
303,706.0
304,672.0
305,658.0
306,670.0
307,698.0
308,736.0
309,706.0
310,692.0
311,684.0
312,706.0
313,704.0
314,724.0
315,688.0
316,662.0
317,658.0
318,672.0
319,706.0
320,742.0
321,714.0
322,686.0
323,680.0
324,696.0
325,716.0
326,726.0
327,702.0
328,702.0
329,698.0
330,716.0
331,730.0
332,702.0
333,672.0
334,680.0
335,716.0
336,720.0
337,698.0
338,664.0
339,650.0
340,670.0
341,706.0
342,722.0
343,674.0
344,652.0
345,644.0
346,660.0
347,696.0
348,726.0
349,698.0
350,664.0
351,646.0
352,662.0
353,670.0
354,680.0
355,650.0
356,624.0
357,608.0
358,612.0
359,630.0
360,678.0
361,668.0
362,648.0
363,636.0
364,656.0
365,724.0
366,774.0
367,734.0
368,692.0
369,690.0
370,704.0
371,730.0
372,696.0
373,668.0
374,668.0
375,696.0
376,740.0
377,778.0
378,736.0
379,700.0
380,684.0
381,690.0
382,722.0
383,698.0
384,674.0
385,676.0
386,712.0
387,714.0
388,686.0
389,660.0
390,656.0
391,662.0
392,670.0
393,678.0
394,644.0
395,622.0
396,620.0
397,644.0
398,682.0
399,692.0
400,656.0
401,632.0
402,624.0
403,638.0
404,654.0
405,652.0
406,622.0
407,608.0
408,616.0
409,650.0
410,706.0
411,678.0
412,648.0
413,624.0
414,620.0
415,634.0
416,654.0
417,630.0
418,624.0
419,628.0
420,652.0
421,676.0
422,664.0
423,634.0
424,622.0
425,620.0
426,626.0
427,654.0
428,652.0
429,632.0
430,614.0
431,604.0
432,614.0
433,632.0
434,644.0
435,642.0
436,618.0
437,598.0
438,594.0
439,606.0
440,634.0
441,648.0
442,644.0
443,636.0
444,634.0
445,656.0
446,698.0
