,0
0,810.0
1,820.0
2,838.0
3,810.0
4,782.0
5,800.0
6,834.0
7,711.9424460431654
8,711.9424460431654
9,818.0
10,836.0
11,834.0
12,816.0
13,780.0
14,748.0
15,760.0
16,802.0
17,800.0
18,792.0
19,738.0
20,736.0
21,756.0
22,776.0
23,784.0
24,742.0
25,712.0
26,708.0
27,716.0
28,738.0
29,714.0
30,698.0
31,742.0
32,750.0
33,780.0
34,742.0
35,756.0
36,774.0
37,776.0
38,754.0
39,724.0
40,718.0
41,728.0
42,746.0
43,778.0
44,776.0
45,752.0
46,744.0
47,772.0
48,802.0
49,810.0
50,764.0
51,720.0
52,718.0
53,734.0
54,768.0
55,730.0
56,764.0
57,800.0
58,826.0
59,800.0
60,766.0
61,800.0
62,784.0
63,738.0
64,704.0
65,710.0
66,734.0
67,758.0
68,736.0
69,712.0
70,722.0
71,736.0
72,748.0
73,704.0
74,712.0
75,708.0
76,714.0
77,710.0
78,682.0
79,684.0
80,704.0
81,736.0
82,742.0
83,712.0
84,700.0
85,712.0
86,734.0
87,710.0
88,682.0
89,696.0
90,710.0
91,720.0
92,694.0
93,690.0
94,698.0
95,706.0
96,716.0
97,682.0
98,686.0
99,700.0
100,730.0
101,704.0
102,692.0
103,694.0
104,702.0
105,740.0
106,708.0
107,722.0
108,758.0
109,776.0
110,770.0
111,740.0
112,692.0
113,670.0
114,668.0
115,692.0
116,692.0
117,686.0
118,720.0
119,764.0
120,766.0
121,748.0
122,748.0
123,762.0
124,762.0
125,708.0
126,696.0
127,712.0
128,740.0
129,730.0
130,706.0
131,718.0
132,736.0
133,746.0
134,720.0
135,734.0
136,768.0
137,772.0
138,762.0
139,712.0
140,704.0
141,702.0
142,708.0
143,684.0
144,688.0
145,698.0
146,706.0
147,698.0
148,692.0
149,708.0
150,706.0
151,696.0
152,676.0
153,668.0
154,670.0
155,672.0
156,664.0
157,644.0
158,646.0
159,672.0
160,704.0
161,738.0
162,708.0
163,694.0
164,692.0
165,706.0
166,710.0
167,672.0
168,658.0
169,666.0
170,690.0
171,700.0
172,688.0
173,684.0
174,708.0
175,734.0
176,736.0
177,702.0
178,686.0
179,692.0
180,714.0
181,700.0
182,680.0
183,668.0
184,688.0
185,722.0
186,692.0
187,682.0
188,694.0
189,716.0
190,730.0
191,706.0
192,686.0
193,690.0
194,700.0
195,712.0
196,680.0
197,664.0
198,672.0
199,688.0
200,684.0
201,678.0
202,670.0
203,684.0
204,702.0
205,696.0
206,674.0
207,680.0
208,688.0
209,696.0
210,676.0
211,652.0
212,648.0
213,682.0
214,698.0
215,750.0
216,720.0
217,684.0
218,690.0
219,724.0
220,718.0
221,692.0
222,688.0
223,690.0
224,704.0
225,678.0
226,652.0
227,650.0
228,660.0
229,690.0
230,666.0
231,666.0
232,680.0
233,694.0
234,714.0
235,688.0
236,660.0
237,658.0
238,666.0
239,668.0
240,658.0
241,640.0
242,620.0
243,634.0
244,648.0
245,632.0
246,620.0
247,626.0
248,664.0
249,720.0
250,706.0
251,682.0
252,654.0
253,676.0
254,694.0
255,708.0
256,690.0
257,650.0
258,626.0
259,612.0
260,618.0
261,614.0
262,604.0
263,598.0
264,614.0
265,634.0
266,666.0
267,642.0
268,646.0
269,670.0
270,708.0
271,712.0
272,704.0
273,668.0
274,658.0
275,660.0
276,686.0
277,718.0
