,0
0,772.0
1,732.0
2,710.0
3,716.0
4,744.0
5,774.0
6,758.0
7,736.0
8,748.0
9,770.0
10,810.0
11,778.0
12,748.0
13,694.0
14,672.0
15,660.0
16,672.0
17,682.0
18,676.0
19,700.0
20,734.0
21,770.0
22,774.0
23,760.0
24,780.0
25,780.0
26,734.0
27,746.0
28,756.0
29,766.0
30,792.0
31,744.0
32,742.0
33,752.0
34,774.0
35,758.0
36,786.0
37,800.0
38,808.0
39,748.0
40,716.0
41,712.0
42,710.0
43,688.0
44,696.0
45,708.0
46,734.0
47,718.0
48,692.0
49,694.0
50,702.0
51,718.0
52,670.0
53,672.0
54,666.0
55,656.0
56,634.0
57,644.0
58,680.0
59,704.0
60,674.0
61,692.0
62,694.0
63,674.0
64,652.0
65,662.0
66,674.0
67,686.0
68,682.0
69,670.0
70,690.0
71,700.0
72,686.0
73,660.0
74,656.0
75,672.0
76,668.0
77,664.0
78,674.0
79,692.0
80,730.0
81,708.0
82,702.0
83,732.0
84,742.0
85,754.0
86,706.0
87,698.0
88,698.0
89,694.0
90,668.0
91,658.0
92,686.0
93,722.0
94,724.0
95,718.0
96,748.0
97,786.0
98,780.0
99,770.0
100,776.0
101,770.0
102,784.0
103,786.0
104,796.0
105,814.0
106,834.0
107,836.0
108,798.0
109,816.0
110,832.0
111,850.0
112,822.0
113,778.0
114,776.0
115,788.0
116,786.0
117,758.0
118,832.0
119,856.0
120,834.0
121,794.0
122,814.0
123,816.0
124,750.0
125,746.0
126,760.0
127,752.0
128,734.0
129,774.0
130,782.0
131,780.0
132,758.0
133,794.0
134,800.0
135,798.0
136,772.0
137,782.0
138,796.0
139,774.0
140,738.0
141,742.0
142,750.0
143,760.0
144,756.0
145,802.0
146,828.0
147,796.0
148,802.0
149,824.0
150,842.0
151,804.0
152,818.0
153,830.0
154,834.0
155,784.0
156,736.0
157,756.0
158,796.0
159,836.0
160,802.0
161,824.0
162,844.0
163,862.0
164,784.0
165,758.0
166,764.0
167,792.0
168,834.0
169,842.0
170,776.0
171,766.0
172,812.0
173,846.0
174,870.0
175,862.0
176,816.0
177,818.0
178,828.0
179,818.0
180,784.0
181,740.0
182,756.0
183,772.0
184,784.0
185,782.0
186,764.0
187,812.0
188,820.0
189,772.0
190,760.0
191,778.0
192,780.0
193,788.0
194,746.0
195,714.0
196,742.0
197,766.0
198,814.0
199,782.0
200,782.0
201,754.0
202,706.0
203,696.0
204,688.0
205,674.0
206,694.0
207,728.0
208,728.0
209,720.0
210,772.0
211,790.0
212,776.0
213,742.0
214,754.0
215,756.0
216,726.0
217,722.0
218,748.0
219,772.0
220,742.0
221,734.0
222,738.0
223,750.0
224,746.0
225,736.0
226,776.0
227,804.0
228,808.0
229,776.0
230,794.0
231,814.0
232,800.0
233,750.0
234,742.0
235,758.0
236,760.0
237,748.0
238,724.0
239,768.0
240,784.0
241,752.0
242,740.0
243,770.0
244,772.0
245,770.0
246,722.0
247,728.0
248,728.0
249,750.0
250,728.0
251,746.0
252,788.0
253,798.0
254,764.0
255,804.0
256,820.0
257,784.0
258,752.0
259,764.0
260,748.0
261,704.0
262,698.0
263,722.0
264,738.0
265,718.0
266,708.0
267,752.0
268,776.0
269,716.0
270,722.0
271,736.0
272,760.0
273,722.0
274,740.0
275,780.0
276,790.0
277,730.0
278,758.0
279,768.0
280,768.0
281,748.0
282,772.0
283,764.0
284,770.0
285,746.0
286,774.0
287,774.0
288,742.0
289,726.0
290,748.0
291,764.0
292,774.0
293,732.0
294,736.0
295,754.0
296,776.0
297,742.0
298,746.0
299,744.0
300,736.0
301,700.0
302,720.0
303,742.0
304,762.0
305,784.0
306,796.0
307,740.0
308,726.0
309,738.0
310,750.0
311,722.0
312,732.0
313,770.0
314,776.0
315,730.0
316,740.0
317,760.0
318,782.0
319,784.0
320,726.0
321,718.0
322,722.0
323,726.0
324,716.0
325,686.0
326,694.0
327,702.0
328,712.0
329,692.0
330,704.0
331,698.0
332,698.0
333,682.0
334,684.0
335,706.0
336,720.0
337,722.0
338,686.0
339,674.0
340,678.0
341,674.0
342,670.0
343,672.0
344,684.0
345,706.0
346,708.0
347,702.0
348,742.0
349,746.0
350,736.0
351,708.0
352,726.0
353,744.0
354,730.0
355,686.0
356,682.0
357,682.0
358,690.0
359,670.0
360,680.0
361,698.0
362,738.0
363,722.0
364,736.0
365,754.0
366,756.0
367,712.0
368,702.0
369,728.0
370,744.0
371,696.0
372,704.0
373,732.0
374,738.0
375,706.0
376,702.0
377,712.0
378,698.0
379,676.0
380,684.0
381,688.0
382,702.0
383,670.0
384,690.0
385,714.0
386,736.0
387,720.0
388,742.0
389,750.0
390,754.0
391,708.0
392,718.0
393,744.0
394,754.0
395,708.0
396,712.0
397,724.0
398,742.0
399,712.0
400,720.0
401,774.0
402,766.0
403,728.0
404,754.0
405,768.0
406,732.0
407,706.0
408,724.0
409,744.0
410,758.0
411,714.0
412,698.0
413,706.0
414,710.0
415,692.0
416,706.0
417,752.0
418,772.0
419,760.0
420,754.0
421,772.0
422,794.0
423,770.0
424,756.0
