,0
0,700.0
1,724.0
2,718.0
3,718.0
4,692.0
5,680.0
6,682.0
7,700.0
8,738.0
9,760.0
10,768.0
11,754.0
12,738.0
13,744.0
14,752.0
15,758.0
16,754.0
17,752.0
18,758.0
19,758.0
20,744.0
21,694.0
22,682.0
23,710.0
24,768.0
25,816.0
26,812.0
27,766.0
28,770.0
29,788.0
30,780.0
31,768.0
32,712.0
33,686.0
34,692.0
35,716.0
36,744.0
37,768.0
38,768.0
39,706.0
40,700.0
41,708.0
42,716.0
43,710.0
44,698.0
45,718.0
46,732.0
47,744.0
48,706.0
49,722.0
50,746.0
51,744.0
52,728.0
53,740.0
54,760.0
55,760.0
56,718.0
57,686.0
58,658.0
59,674.0
60,722.0
61,758.0
62,792.0
63,806.0
64,782.0
65,766.0
66,764.0
67,740.0
68,700.0
69,690.0
70,696.0
71,722.0
72,776.0
73,800.0
74,804.0
75,788.0
76,730.0
77,670.0
78,670.0
79,672.0
80,700.0
81,750.0
82,786.0
83,802.0
84,778.0
85,794.0
86,792.0
87,778.0
88,754.0
89,712.0
90,690.0
91,682.0
92,712.0
93,756.0
94,794.0
95,778.0
96,762.0
97,702.0
98,658.0
99,638.0
100,632.0
101,644.0
102,684.0
103,726.0
104,774.0
105,794.0
106,800.0
107,794.0
108,796.0
109,782.0
110,746.0
111,702.0
112,702.0
113,700.0
114,708.0
115,726.0
116,746.0
117,748.0
118,718.0
119,746.0
120,742.0
121,734.0
122,702.0
123,674.0
124,668.0
125,692.0
126,732.0
127,766.0
128,719.1724137931035
129,764.0
130,734.0
131,746.0
132,748.0
133,740.0
134,722.0
135,690.0
136,694.0
137,696.0
138,700.0
139,702.0
140,682.0
141,684.0
142,708.0
143,760.0
144,786.0
145,764.0
146,708.0
147,706.0
148,708.0
149,722.0
150,690.0
151,644.0
152,626.0
153,620.0
154,626.0
155,638.0
156,666.0
157,710.0
158,748.0
159,762.0
160,758.0
161,732.0
162,664.0
163,634.0
164,614.0
165,622.0
166,646.0
167,692.0
168,736.0
169,770.0
170,788.0
171,798.0
172,778.0
173,740.0
174,730.0
175,712.0
176,728.0
177,756.0
178,782.0
179,812.0
180,816.0
181,820.0
182,800.0
183,776.0
184,744.0
185,690.0
186,658.0
187,650.0
188,650.0
189,674.0
190,726.0
191,788.0
192,834.0
193,838.0
194,836.0
195,806.0
196,758.0
197,704.0
198,688.0
199,678.0
200,690.0
201,728.0
202,748.0
203,770.0
204,772.0
205,774.0
206,760.0
207,694.0
208,654.0
209,634.0
210,628.0
211,644.0
212,680.0
213,728.0
214,762.0
215,796.0
216,824.0
217,814.0
218,792.0
219,768.0
220,750.0
221,718.0
222,694.0
223,684.0
224,670.0
225,642.0
226,652.0
227,678.0
228,719.1724137931035
229,708.0
230,732.0
231,696.0
232,682.0
233,720.0
234,712.0
235,732.0
236,714.0
237,702.0
238,684.0
239,658.0
240,648.0
241,644.0
242,656.0
243,666.0
244,702.0
245,714.0
246,716.0
247,720.0
248,714.0
249,700.0
250,688.0
251,688.0
252,686.0
253,696.0
254,700.0
255,710.0
256,702.0
257,674.0
258,674.0
259,682.0
260,690.0
261,726.0
262,764.0
263,776.0
264,790.0
265,778.0
266,766.0
267,738.0
268,736.0
269,718.0
270,692.0
271,684.0
272,696.0
273,708.0
274,718.0
275,712.0
276,680.0
277,656.0
278,660.0
279,688.0
280,724.0
281,760.0
282,774.0
283,746.0
284,708.0
285,706.0
286,708.0
287,716.0
288,732.0
289,736.0
290,708.0
291,674.0
292,658.0
293,642.0
294,656.0
295,704.0
296,722.0
297,750.0
298,752.0
299,748.0
300,738.0
301,722.0
302,720.0
303,706.0
304,706.0
305,698.0
306,700.0
307,702.0
308,722.0
309,742.0
310,764.0
311,766.0
312,758.0
313,746.0
314,740.0
315,742.0
316,708.0
317,716.0
318,732.0
319,748.0
320,728.0
321,726.0
322,772.0
323,788.0
324,762.0
325,742.0
326,774.0
327,762.0
328,728.0
329,706.0
330,718.0
331,726.0
332,702.0
333,688.0
334,716.0
335,740.0
336,754.0
337,712.0
338,720.0
339,750.0
340,760.0
341,724.0
342,696.0
343,692.0
344,708.0
345,732.0
346,754.0
347,764.0
348,746.0
349,718.0
350,726.0
351,742.0
352,752.0
353,728.0
354,698.0
355,716.0
356,726.0
357,738.0
358,728.0
359,718.0
360,736.0
361,744.0
362,734.0
363,710.0
364,678.0
365,662.0
366,674.0
367,708.0
368,754.0
369,738.0
370,738.0
371,764.0
372,764.0
373,708.0
374,678.0
375,668.0
376,684.0
377,702.0
378,726.0
379,738.0
380,710.0
381,688.0
382,708.0
383,726.0
384,732.0
385,706.0
386,686.0
387,678.0
388,638.0
389,624.0
390,636.0
391,644.0
392,650.0
393,662.0
394,684.0
395,744.0
396,780.0
397,766.0
398,704.0
399,664.0
400,658.0
401,670.0
402,690.0
403,718.0
404,722.0
405,704.0
406,678.0
407,686.0
408,688.0
409,704.0
410,718.0
411,714.0
412,700.0
413,700.0
414,720.0
415,756.0
416,770.0
417,776.0
418,738.0
419,706.0
420,684.0
421,686.0
422,720.0
423,762.0
424,792.0
425,804.0
426,770.0
427,736.0
428,728.0
429,722.0
430,718.0
431,704.0
432,698.0
433,720.0
434,738.0
