,0
0,736.0
1,776.0
2,764.0
3,764.0
4,802.0
5,816.0
6,822.0
7,756.0617577197149
8,756.0617577197149
9,786.0
10,792.0
11,778.0
12,786.0
13,794.0
14,802.0
15,814.0
16,824.0
17,818.0
18,740.0
19,686.0
20,666.0
21,684.0
22,730.0
23,824.0
24,876.0
25,878.0
26,834.0
27,854.0
28,788.0
29,770.0
30,796.0
31,804.0
32,796.0
33,808.0
34,826.0
35,818.0
36,828.0
37,834.0
38,826.0
39,746.0
40,720.0
41,746.0
42,804.0
43,836.0
44,872.0
45,856.0
46,838.0
47,848.0
48,800.0
49,814.0
50,820.0
51,784.0
52,804.0
53,812.0
54,826.0
55,802.0
56,818.0
57,822.0
58,790.0
59,708.0
60,712.0
61,756.0
62,806.0
63,830.0
64,798.0
65,820.0
66,812.0
67,794.0
68,784.0
69,780.0
70,776.0
71,744.0
72,762.0
73,776.0
74,764.0
75,768.0
76,796.0
77,816.0
78,776.0
79,804.0
80,820.0
81,818.0
82,770.0
83,790.0
84,780.0
85,732.0
86,746.0
87,756.0
88,742.0
89,720.0
90,744.0
91,768.0
92,728.0
93,750.0
94,760.0
95,748.0
96,716.0
97,724.0
98,736.0
99,738.0
100,716.0
101,734.0
102,734.0
103,714.0
104,742.0
105,758.0
106,714.0
107,690.0
108,714.0
109,758.0
110,786.0
111,760.0
112,770.0
113,794.0
114,790.0
115,738.0
116,738.0
117,754.0
118,766.0
119,732.0
120,744.0
121,766.0
122,778.0
123,718.0
124,692.0
125,734.0
126,782.0
127,844.0
128,874.0
129,872.0
130,830.0
131,868.0
132,852.0
133,834.0
134,804.0
135,814.0
136,810.0
137,800.0
138,780.0
139,796.0
140,812.0
141,766.0
142,784.0
143,770.0
144,762.0
145,780.0
146,792.0
147,764.0
148,790.0
149,790.0
150,760.0
151,760.0
152,768.0
153,736.0
154,746.0
155,758.0
156,766.0
157,722.0
158,756.0
159,766.0
160,746.0
161,736.0
162,772.0
163,762.0
164,720.0
165,744.0
166,754.0
167,728.0
168,736.0
169,760.0
170,748.0
171,736.0
172,764.0
173,768.0
174,730.0
175,752.0
176,760.0
177,720.0
178,692.0
179,708.0
180,746.0
181,758.0
182,736.0
183,748.0
184,770.0
185,752.0
186,730.0
187,754.0
188,756.0
189,738.0
190,756.0
191,782.0
192,798.0
193,764.0
194,770.0
195,780.0
196,758.0
197,738.0
198,742.0
199,750.0
200,726.0
201,728.0
202,748.0
203,744.0
204,720.0
205,744.0
206,744.0
207,722.0
208,736.0
209,740.0
210,750.0
211,714.0
212,734.0
213,748.0
214,734.0
215,688.0
216,698.0
217,726.0
218,740.0
219,706.0
220,732.0
221,748.0
222,750.0
223,712.0
224,734.0
225,740.0
226,714.0
227,730.0
228,740.0
229,716.0
230,710.0
231,732.0
232,736.0
233,716.0
234,742.0
235,756.0
236,750.0
237,714.0
238,730.0
239,734.0
240,708.0
241,728.0
242,748.0
243,760.0
244,742.0
245,760.0
246,756.0
247,722.0
248,738.0
249,748.0
250,744.0
251,710.0
252,720.0
253,734.0
254,716.0
255,724.0
256,750.0
257,756.0
258,734.0
259,758.0
260,748.0
261,724.0
262,740.0
263,750.0
264,718.0
265,730.0
266,746.0
267,726.0
268,678.0
269,680.0
270,700.0
271,742.0
272,760.0
273,738.0
274,754.0
275,770.0
276,770.0
277,738.0
278,754.0
279,760.0
280,732.0
281,738.0
282,770.0
283,772.0
284,768.0
285,788.0
286,776.0
287,746.0
288,752.0
289,746.0
290,720.0
291,736.0
292,774.0
293,768.0
294,762.0
295,774.0
296,780.0
297,738.0
298,756.0
299,752.0
300,708.0
301,710.0
302,730.0
303,720.0
304,724.0
305,762.0
306,768.0
307,742.0
308,758.0
309,768.0
310,736.0
311,742.0
312,748.0
313,722.0
314,714.0
315,736.0
316,748.0
317,716.0
318,730.0
319,744.0
320,732.0
321,726.0
322,736.0
323,750.0
324,716.0
325,724.0
326,722.0
327,704.0
328,688.0
329,712.0
330,746.0
331,728.0
332,732.0
333,764.0
334,764.0
335,720.0
336,738.0
337,748.0
338,744.0
339,742.0
340,760.0
341,756.0
342,728.0
343,746.0
344,722.0
345,668.0
346,640.0
347,652.0
348,700.0
349,696.0
350,730.0
351,774.0
352,768.0
353,734.0
354,728.0
355,738.0
356,738.0
357,712.0
358,740.0
359,780.0
360,782.0
361,758.0
362,800.0
363,808.0
364,760.0
365,764.0
366,772.0
367,764.0
368,720.0
369,734.0
370,752.0
371,758.0
372,728.0
373,766.0
374,782.0
375,758.0
376,742.0
377,764.0
378,764.0
379,722.0
380,732.0
381,736.0
382,712.0
383,716.0
384,726.0
385,724.0
386,698.0
387,726.0
388,756.0
389,754.0
390,750.0
391,776.0
392,782.0
393,734.0
394,716.0
395,720.0
396,700.0
397,688.0
398,716.0
399,760.0
400,754.0
401,784.0
402,824.0
403,794.0
404,816.0
405,818.0
406,760.0
407,780.0
408,778.0
409,730.0
410,734.0
411,748.0
412,732.0
413,708.0
414,740.0
415,766.0
416,736.0
417,754.0
418,774.0
419,742.0
420,736.0
